nome_projeto,tempo_execucao_meses,custo_total_mil_reais,recursos_humanos,complexidade_tecnica,grau_inovacao,setor_atuacao,risco,viavel
Projeto_117,8,141,17,Média,Médio,Tecnologia,Médio,1
Projeto_118,9,532,10,Baixa,Baixo,Saúde,Médio,1
Projeto_119,12,592,4,Baixa,Alto,Industrial,Baixo,0
Projeto_120,13,254,6,Média,Baixo,Saúde,Alto,1
Projeto_121,15,551,21,Alta,Baixo,Educação,Alto,1
Projeto_122,11,980,15,Baixa,Médio,Saúde,Alto,1
Projeto_123,9,449,29,Média,Médio,Industrial,Médio,1
Projeto_124,11,256,27,Baixa,Médio,Tecnologia,Médio,1
Projeto_125,15,668,16,Média,Baixo,Industrial,Alto,0
Projeto_126,5,195,7,Média,Baixo,Saúde,Alto,0
Projeto_127,5,928,28,Alta,Médio,Industrial,Médio,0
Projeto_128,3,150,27,Média,Alto,Saúde,Médio,1
Projeto_129,23,929,5,Alta,Alto,Tecnologia,Médio,0
Projeto_130,22,879,9,Média,Médio,Tecnologia,Médio,0
Projeto_131,4,929,20,Baixa,Alto,Educação,Baixo,1
Projeto_132,5,290,28,Média,Médio,Tecnologia,Médio,1
Projeto_133,17,972,6,Média,Médio,Financeiro,Alto,1
Projeto_134,8,808,14,Alta,Médio,Industrial,Médio,1
Projeto_135,15,212,17,Alta,Médio,Industrial,Médio,1
Projeto_136,23,933,2,Baixa,Médio,Saúde,Médio,0
Projeto_137,3,222,14,Baixa,Médio,Tecnologia,Alto,1
Projeto_138,22,551,23,Baixa,Baixo,Educação,Médio,0
Projeto_139,21,596,12,Alta,Baixo,Educação,Médio,1
Projeto_140,3,333,22,Alta,Baixo,Educação,Médio,1
Projeto_141,23,408,9,Média,Médio,Financeiro,Médio,1
Projeto_142,4,430,26,Média,Baixo,Tecnologia,Médio,1
Projeto_143,17,919,9,Média,Baixo,Educação,Médio,0
Projeto_144,16,954,25,Média,Médio,Financeiro,Médio,1
Projeto_145,21,960,29,Baixa,Médio,Industrial,Médio,0
Projeto_146,13,582,15,Média,Médio,Saúde,Baixo,1
Projeto_147,17,869,14,Baixa,Médio,Tecnologia,Baixo,1
Projeto_148,8,212,4,Baixa,Alto,Tecnologia,Baixo,1
Projeto_149,22,658,5,Alta,Alto,Industrial,Alto,1
Projeto_150,11,356,28,Média,Alto,Tecnologia,Baixo,1
Projeto_151,7,388,21,Média,Médio,Tecnologia,Baixo,0
Projeto_152,22,104,16,Média,Baixo,Tecnologia,Baixo,0
Projeto_153,4,382,16,Média,Alto,Tecnologia,Médio,1
Projeto_154,8,176,28,Média,Baixo,Financeiro,Baixo,1
Projeto_155,20,989,22,Média,Baixo,Financeiro,Médio,1
Projeto_156,21,754,14,Média,Médio,Saúde,Baixo,1
Projeto_157,11,292,10,Média,Baixo,Tecnologia,Alto,0
Projeto_158,23,910,29,Baixa,Alto,Industrial,Alto,0
Projeto_159,8,649,26,Média,Médio,Educação,Alto,0
Projeto_160,16,897,11,Média,Médio,Saúde,Médio,1
Projeto_161,15,458,13,Média,Médio,Educação,Médio,0
Projeto_162,13,552,15,Média,Médio,Educação,Médio,0
Projeto_163,14,776,2,Média,Baixo,Tecnologia,Médio,1
Projeto_164,21,653,15,Baixa,Médio,Industrial,Médio,1
Projeto_165,21,352,15,Média,Médio,Educação,Baixo,1
Projeto_166,23,513,9,Alta,Médio,Educação,Médio,1
Projeto_167,21,284,17,Baixa,Médio,Saúde,Baixo,1
Projeto_168,15,745,15,Média,Baixo,Industrial,Médio,1
Projeto_169,16,87,2,Média,Baixo,Industrial,Médio,1
Projeto_170,20,188,17,Baixa,Baixo,Educação,Médio,0
Projeto_171,14,244,19,Média,Baixo,Industrial,Alto,0
Projeto_172,6,576,8,Média,Alto,Saúde,Médio,0
Projeto_173,12,818,16,Média,Alto,Saúde,Médio,0
Projeto_174,19,696,25,Alta,Baixo,Saúde,Médio,1
Projeto_175,6,50,18,Baixa,Médio,Tecnologia,Baixo,0
Projeto_176,14,610,20,Baixa,Médio,Educação,Médio,1
Projeto_177,15,145,24,Alta,Baixo,Industrial,Alto,0
Projeto_178,6,762,14,Média,Baixo,Saúde,Alto,1
Projeto_179,12,462,10,Média,Alto,Educação,Médio,1
Projeto_180,5,587,25,Média,Médio,Educação,Baixo,1
Projeto_181,17,904,25,Média,Alto,Tecnologia,Baixo,1
Projeto_182,4,478,16,Média,Baixo,Industrial,Médio,0
Projeto_183,19,284,26,Baixa,Médio,Industrial,Alto,1
Projeto_184,8,398,27,Baixa,Baixo,Saúde,Médio,0
Projeto_185,10,805,4,Baixa,Baixo,Saúde,Alto,1
Projeto_186,5,919,25,Alta,Médio,Educação,Médio,1
Projeto_187,20,530,2,Baixa,Baixo,Industrial,Baixo,0
Projeto_188,3,888,17,Média,Baixo,Industrial,Baixo,1
Projeto_189,18,445,9,Alta,Baixo,Saúde,Baixo,0
Projeto_190,9,400,24,Média,Baixo,Financeiro,Médio,1
Projeto_191,5,465,14,Média,Médio,Educação,Baixo,1
Projeto_192,6,935,9,Média,Médio,Industrial,Médio,1
Projeto_193,11,965,18,Média,Baixo,Tecnologia,Médio,1
Projeto_194,7,936,23,Média,Baixo,Tecnologia,Médio,1
Projeto_195,21,100,24,Média,Baixo,Financeiro,Baixo,1
Projeto_196,17,130,15,Alta,Médio,Saúde,Baixo,0
Projeto_197,10,85,28,Alta,Baixo,Saúde,Médio,1
Projeto_198,8,116,22,Alta,Médio,Saúde,Médio,1
Projeto_199,20,690,22,Alta,Baixo,Tecnologia,Médio,0
Projeto_200,21,931,8,Média,Baixo,Saúde,Alto,0
Projeto_201,17,716,28,Média,Alto,Tecnologia,Médio,0
Projeto_202,9,806,16,Alta,Médio,Financeiro,Médio,1
Projeto_203,12,672,17,Média,Baixo,Educação,Médio,1
Projeto_204,8,729,20,Alta,Alto,Industrial,Alto,1
Projeto_205,16,530,7,Média,Médio,Financeiro,Médio,1
Projeto_206,19,517,24,Média,Alto,Tecnologia,Médio,0
Projeto_207,11,191,2,Média,Médio,Financeiro,Médio,0
Projeto_208,21,405,13,Alta,Médio,Industrial,Médio,0
Projeto_209,7,758,19,Baixa,Alto,Educação,Médio,1
Projeto_210,9,520,17,Média,Baixo,Industrial,Médio,0
Projeto_211,21,670,13,Média,Médio,Tecnologia,Alto,1
Projeto_212,22,937,21,Baixa,Médio,Industrial,Alto,1
Projeto_213,9,640,14,Média,Baixo,Financeiro,Baixo,1
Projeto_214,4,951,9,Média,Baixo,Saúde,Baixo,1
Projeto_215,18,722,28,Média,Baixo,Financeiro,Baixo,1
Projeto_216,15,488,27,Média,Médio,Tecnologia,Médio,0
Projeto_217,10,580,23,Média,Médio,Educação,Médio,0
Projeto_218,8,176,2,Média,Médio,Industrial,Baixo,1
Projeto_219,8,254,27,Média,Baixo,Educação,Baixo,1
Projeto_220,11,78,22,Baixa,Médio,Tecnologia,Médio,1
Projeto_221,6,494,8,Alta,Alto,Industrial,Baixo,0
Projeto_222,13,768,16,Média,Baixo,Financeiro,Baixo,1
Projeto_223,7,513,23,Média,Médio,Financeiro,Médio,0
Projeto_224,19,329,14,Média,Médio,Tecnologia,Baixo,0
Projeto_225,22,200,14,Média,Médio,Industrial,Baixo,0
Projeto_226,9,289,29,Média,Médio,Financeiro,Alto,1
Projeto_227,17,315,10,Média,Alto,Tecnologia,Alto,0
Projeto_228,17,743,25,Média,Baixo,Tecnologia,Médio,0
Projeto_229,16,154,16,Média,Alto,Educação,Baixo,1
Projeto_230,15,986,5,Média,Baixo,Financeiro,Médio,1
Projeto_231,13,482,14,Baixa,Baixo,Industrial,Médio,1
Projeto_232,15,962,28,Média,Baixo,Financeiro,Baixo,1
Projeto_233,11,546,13,Baixa,Médio,Financeiro,Baixo,1
Projeto_234,12,489,6,Baixa,Médio,Financeiro,Baixo,0
Projeto_235,6,797,8,Alta,Baixo,Tecnologia,Médio,0
Projeto_236,19,734,9,Média,Baixo,Saúde,Alto,1
Projeto_237,16,207,6,Média,Alto,Saúde,Médio,0
Projeto_238,20,221,10,Média,Alto,Educação,Médio,1
Projeto_239,13,543,15,Alta,Médio,Financeiro,Médio,1
Projeto_240,18,360,27,Média,Médio,Saúde,Médio,1
Projeto_241,3,452,13,Média,Médio,Educação,Médio,1
Projeto_242,9,718,5,Média,Baixo,Tecnologia,Baixo,1
Projeto_243,12,819,21,Alta,Alto,Financeiro,Médio,0
Projeto_244,11,725,9,Alta,Baixo,Industrial,Alto,1
Projeto_245,5,708,18,Alta,Médio,Tecnologia,Médio,0
Projeto_246,16,952,9,Baixa,Baixo,Educação,Alto,1
Projeto_247,17,715,22,Baixa,Médio,Tecnologia,Médio,1
Projeto_248,4,512,28,Baixa,Médio,Industrial,Médio,0
Projeto_249,16,416,2,Baixa,Médio,Tecnologia,Baixo,1
Projeto_250,18,599,21,Alta,Baixo,Educação,Médio,0
Projeto_251,9,692,3,Baixa,Médio,Industrial,Alto,0
Projeto_252,6,919,5,Baixa,Baixo,Industrial,Médio,1
Projeto_253,20,304,25,Baixa,Baixo,Tecnologia,Baixo,0
Projeto_254,7,257,22,Baixa,Baixo,Industrial,Baixo,0
Projeto_255,8,499,2,Baixa,Médio,Tecnologia,Médio,1
Projeto_256,9,144,8,Média,Médio,Financeiro,Médio,1
Projeto_257,17,909,2,Média,Médio,Industrial,Médio,0
Projeto_258,3,888,10,Baixa,Médio,Tecnologia,Alto,0
Projeto_259,6,527,4,Média,Médio,Financeiro,Médio,1
Projeto_260,3,732,13,Média,Médio,Industrial,Médio,0
Projeto_261,13,811,20,Baixa,Baixo,Financeiro,Baixo,0
Projeto_262,20,239,16,Média,Baixo,Industrial,Baixo,1
Projeto_263,16,760,23,Média,Médio,Educação,Médio,1
Projeto_264,13,533,17,Média,Médio,Educação,Alto,1
Projeto_265,12,782,11,Média,Alto,Tecnologia,Médio,0
Projeto_266,19,585,23,Baixa,Alto,Saúde,Médio,1
Projeto_267,6,805,28,Alta,Baixo,Educação,Baixo,1
Projeto_268,17,472,28,Alta,Baixo,Saúde,Alto,0
Projeto_269,18,885,7,Alta,Médio,Financeiro,Alto,0
Projeto_270,23,689,18,Baixa,Baixo,Financeiro,Médio,1
Projeto_271,15,654,22,Alta,Baixo,Saúde,Baixo,1
Projeto_272,11,861,29,Alta,Alto,Tecnologia,Médio,1
Projeto_273,13,182,23,Alta,Baixo,Industrial,Alto,1
Projeto_274,13,104,25,Baixa,Alto,Saúde,Médio,1
Projeto_275,8,559,18,Média,Médio,Saúde,Médio,1
Projeto_276,3,719,22,Alta,Médio,Saúde,Baixo,0
Projeto_277,8,590,20,Média,Baixo,Saúde,Baixo,0
Projeto_278,15,459,19,Média,Baixo,Saúde,Baixo,1
Projeto_279,7,260,12,Alta,Médio,Tecnologia,Alto,1
Projeto_280,17,715,25,Média,Baixo,Educação,Médio,1
Projeto_281,20,342,8,Média,Baixo,Industrial,Médio,1
Projeto_282,22,783,11,Média,Baixo,Educação,Baixo,1
Projeto_283,16,164,8,Alta,Baixo,Saúde,Alto,0
Projeto_284,17,998,6,Baixa,Baixo,Educação,Alto,1
Projeto_285,7,719,13,Média,Médio,Tecnologia,Baixo,1
Projeto_286,6,308,17,Média,Baixo,Financeiro,Alto,0
Projeto_287,4,812,26,Média,Baixo,Educação,Baixo,0
Projeto_288,9,171,22,Média,Médio,Industrial,Baixo,1
Projeto_289,12,348,19,Alta,Alto,Tecnologia,Baixo,1
Projeto_290,18,824,4,Alta,Baixo,Financeiro,Alto,0
Projeto_291,12,430,21,Baixa,Baixo,Tecnologia,Alto,0
Projeto_292,20,610,16,Média,Médio,Saúde,Médio,1
Projeto_293,19,938,6,Baixa,Alto,Financeiro,Médio,1
Projeto_294,23,890,14,Média,Médio,Industrial,Médio,1
Projeto_295,15,550,20,Média,Médio,Financeiro,Alto,1
Projeto_296,3,346,13,Alta,Baixo,Industrial,Baixo,1
Projeto_297,3,411,24,Alta,Médio,Saúde,Médio,0
Projeto_298,17,638,22,Baixa,Baixo,Industrial,Médio,1
Projeto_299,3,512,6,Baixa,Médio,Tecnologia,Baixo,0
Projeto_300,8,487,7,Média,Médio,Educação,Médio,1
Projeto_301,15,176,8,Média,Alto,Tecnologia,Médio,0
Projeto_302,3,246,27,Baixa,Baixo,Tecnologia,Baixo,1
Projeto_303,7,270,11,Alta,Baixo,Financeiro,Alto,0
Projeto_304,11,140,17,Alta,Médio,Saúde,Baixo,1
Projeto_305,19,460,9,Média,Médio,Educação,Alto,0
Projeto_306,18,57,10,Alta,Médio,Industrial,Baixo,0
Projeto_307,10,593,28,Média,Baixo,Financeiro,Baixo,0
Projeto_308,19,517,5,Média,Baixo,Saúde,Baixo,1
Projeto_309,17,369,22,Média,Médio,Educação,Médio,0
Projeto_310,3,443,22,Baixa,Baixo,Tecnologia,Médio,1
Projeto_311,14,318,9,Alta,Alto,Saúde,Baixo,1
Projeto_312,7,240,26,Média,Médio,Saúde,Baixo,1
Projeto_313,8,910,8,Média,Médio,Saúde,Médio,1
Projeto_314,3,724,16,Média,Médio,Tecnologia,Médio,1
Projeto_315,3,110,22,Baixa,Médio,Industrial,Médio,0
Projeto_316,12,487,4,Baixa,Baixo,Financeiro,Baixo,0
Projeto_317,12,313,18,Média,Alto,Industrial,Médio,1
Projeto_318,5,846,12,Média,Baixo,Educação,Médio,0
Projeto_319,19,144,10,Média,Médio,Financeiro,Alto,1
Projeto_320,21,602,6,Média,Baixo,Educação,Médio,0
Projeto_321,13,975,26,Média,Médio,Tecnologia,Baixo,1
Projeto_322,20,519,11,Média,Baixo,Industrial,Baixo,0
Projeto_323,4,710,16,Média,Baixo,Saúde,Médio,1
Projeto_324,11,765,29,Alta,Alto,Financeiro,Médio,1
Projeto_325,19,828,15,Média,Baixo,Saúde,Alto,0
Projeto_326,16,563,5,Média,Médio,Educação,Médio,0
Projeto_327,6,739,22,Baixa,Alto,Saúde,Médio,0
Projeto_328,19,986,21,Média,Baixo,Saúde,Médio,1
Projeto_329,19,243,3,Baixa,Médio,Tecnologia,Médio,0
Projeto_330,14,531,13,Média,Baixo,Tecnologia,Baixo,0
Projeto_331,22,948,2,Baixa,Baixo,Industrial,Baixo,1
Projeto_332,20,385,25,Média,Médio,Educação,Médio,1
Projeto_333,5,484,21,Média,Alto,Tecnologia,Baixo,0
Projeto_334,13,245,6,Média,Baixo,Tecnologia,Baixo,0
Projeto_335,20,904,7,Baixa,Médio,Industrial,Baixo,1
Projeto_336,6,298,25,Baixa,Médio,Financeiro,Baixo,1
Projeto_337,19,547,12,Média,Alto,Industrial,Baixo,0
Projeto_338,20,261,9,Baixa,Baixo,Saúde,Médio,1
Projeto_339,7,714,8,Média,Médio,Saúde,Médio,0
Projeto_340,16,719,5,Média,Médio,Tecnologia,Médio,0
Projeto_341,12,515,7,Média,Médio,Tecnologia,Médio,1
Projeto_342,17,923,17,Média,Alto,Industrial,Alto,0
Projeto_343,3,700,21,Alta,Alto,Industrial,Baixo,1
Projeto_344,18,270,16,Baixa,Baixo,Educação,Médio,1
Projeto_345,13,322,15,Baixa,Médio,Saúde,Baixo,1
Projeto_346,22,203,24,Baixa,Baixo,Industrial,Médio,0
Projeto_347,8,298,13,Baixa,Baixo,Financeiro,Alto,0
Projeto_348,18,328,13,Baixa,Médio,Educação,Médio,1
Projeto_349,4,489,17,Média,Baixo,Industrial,Médio,0
Projeto_350,3,997,16,Média,Médio,Tecnologia,Médio,1
Projeto_351,11,865,14,Média,Alto,Industrial,Médio,0
Projeto_352,14,325,12,Média,Baixo,Tecnologia,Baixo,0
Projeto_353,19,563,18,Média,Alto,Tecnologia,Médio,0
Projeto_354,17,137,22,Média,Médio,Saúde,Médio,1
Projeto_355,21,848,16,Baixa,Médio,Saúde,Médio,1
Projeto_356,12,972,15,Média,Alto,Industrial,Baixo,0
Projeto_357,14,691,11,Baixa,Baixo,Industrial,Alto,1
Projeto_358,16,554,13,Baixa,Médio,Financeiro,Baixo,0
Projeto_359,11,639,17,Média,Médio,Educação,Baixo,0
Projeto_360,15,821,16,Alta,Baixo,Educação,Médio,1
Projeto_361,5,290,11,Média,Alto,Industrial,Baixo,1
Projeto_362,23,702,5,Baixa,Alto,Saúde,Médio,0
Projeto_363,16,789,28,Alta,Baixo,Financeiro,Médio,0
Projeto_364,23,724,24,Média,Baixo,Educação,Médio,1
Projeto_365,12,285,10,Média,Médio,Industrial,Médio,1
Projeto_366,18,177,22,Alta,Baixo,Saúde,Médio,1
Projeto_367,9,552,21,Média,Médio,Saúde,Alto,0
Projeto_368,6,249,10,Baixa,Baixo,Saúde,Médio,1
Projeto_369,22,951,22,Média,Médio,Tecnologia,Médio,0
Projeto_370,13,592,26,Média,Baixo,Saúde,Alto,1
Projeto_371,18,551,25,Média,Baixo,Industrial,Baixo,0
Projeto_372,22,699,21,Média,Médio,Financeiro,Médio,0
Projeto_373,6,541,12,Alta,Médio,Industrial,Baixo,1
Projeto_374,19,70,12,Alta,Alto,Saúde,Baixo,1
Projeto_375,15,283,8,Alta,Alto,Financeiro,Baixo,1
Projeto_376,13,763,22,Alta,Baixo,Educação,Médio,0
Projeto_377,5,840,11,Alta,Baixo,Educação,Médio,1
Projeto_378,11,692,5,Baixa,Alto,Industrial,Baixo,1
Projeto_379,8,465,6,Baixa,Alto,Financeiro,Alto,0
Projeto_380,23,197,6,Média,Alto,Industrial,Médio,1
Projeto_381,13,78,12,Alta,Baixo,Financeiro,Alto,1
Projeto_382,18,410,10,Média,Alto,Financeiro,Alto,0
Projeto_383,21,357,29,Média,Baixo,Industrial,Médio,0
Projeto_384,7,932,17,Baixa,Médio,Financeiro,Alto,0
Projeto_385,16,991,10,Baixa,Alto,Saúde,Médio,0
Projeto_386,19,211,23,Média,Baixo,Financeiro,Alto,1
Projeto_387,5,918,5,Baixa,Alto,Financeiro,Baixo,1
Projeto_388,6,901,3,Média,Baixo,Industrial,Médio,1
Projeto_389,18,110,15,Baixa,Alto,Educação,Médio,0
Projeto_390,18,174,4,Média,Baixo,Tecnologia,Médio,1
Projeto_391,23,505,19,Média,Alto,Financeiro,Alto,1
Projeto_392,6,120,22,Média,Baixo,Tecnologia,Alto,1
Projeto_393,21,887,7,Média,Médio,Financeiro,Baixo,0
Projeto_394,19,956,12,Baixa,Médio,Industrial,Alto,1
Projeto_395,15,925,22,Alta,Médio,Industrial,Baixo,1
Projeto_396,3,515,19,Média,Baixo,Financeiro,Médio,1
Projeto_397,14,292,13,Média,Médio,Industrial,Médio,0
Projeto_398,6,539,6,Média,Baixo,Industrial,Baixo,0
Projeto_399,13,810,10,Baixa,Médio,Financeiro,Médio,1
Projeto_400,7,270,21,Alta,Baixo,Educação,Médio,0
Projeto_401,4,522,29,Média,Alto,Financeiro,Baixo,1
Projeto_402,19,582,27,Média,Baixo,Educação,Médio,1
Projeto_403,10,543,19,Baixa,Baixo,Industrial,Médio,0
Projeto_404,8,948,20,Alta,Baixo,Educação,Médio,1
Projeto_405,23,131,4,Média,Médio,Industrial,Baixo,0
Projeto_406,11,905,10,Baixa,Baixo,Educação,Alto,0
Projeto_407,15,928,5,Média,Médio,Educação,Alto,1
Projeto_408,13,571,18,Alta,Alto,Financeiro,Baixo,1
Projeto_409,18,972,18,Média,Médio,Educação,Baixo,0
Projeto_410,18,61,24,Média,Médio,Industrial,Alto,1
Projeto_411,4,312,24,Média,Baixo,Financeiro,Médio,0
Projeto_412,12,706,3,Média,Médio,Educação,Baixo,1
Projeto_413,14,498,10,Média,Baixo,Financeiro,Médio,1
Projeto_414,10,241,10,Baixa,Médio,Tecnologia,Médio,0
Projeto_415,13,811,6,Média,Baixo,Financeiro,Médio,1
Projeto_416,12,163,16,Alta,Médio,Tecnologia,Baixo,1
Projeto_417,15,75,16,Média,Baixo,Tecnologia,Médio,1
Projeto_418,19,832,4,Média,Alto,Financeiro,Baixo,1
Projeto_419,9,548,20,Média,Baixo,Industrial,Alto,0
Projeto_420,5,557,29,Média,Médio,Industrial,Médio,0
Projeto_421,22,594,4,Alta,Baixo,Industrial,Médio,1
